,authors,by_statement,contributions,contributors,copyright_date,coverimage,covers,created.type,created.value,description,description.type,description.value,dewey_decimal_class,edition_name,first_sentence.type,first_sentence.value,full_title,genres,ia_box_id,ia_loaded_id,identifiers.amazon,identifiers.amazon.co.uk_asin,identifiers.goodreads,identifiers.google,identifiers.librarything,isbn_10,isbn_13,isbn_invalid,key,languages,last_modified.type,last_modified.value,latest_revision,lc_classifications,lccn,links,location,notes,notes.type,notes.value,number_of_pages,ocaid,oclc_number,oclc_numbers,other_titles,pagination,physical_dimensions,physical_format,publish_country,publish_date,publish_places,publishers,revision,series,source_records,subject_place,subject_time,subject_times,subjects,subtitle,table_of_contents,title,title_prefix,type.key,uri_descriptions,uris,url,weight,work_title,work_titles,works
0,[{'key': '/authors/OL1510587A'}],Kirsten Twelbeck.,,,,,,,,,,,['810.9/8957'],,,,,,,,,,['4552191'],,,['3631381220'],,,/books/OL3659618M,[{'key': '/languages/ger'}],/type/datetime,2010-04-16T04:53:32.015541,4,['PS153.K67 T84 2002'],['2002524492'],,,,/type/text,"Includes bibliographical references (p. 289-310).
Originally presented as the author's thesis (doctoral)--Freie Universität Berlin, 2000.",310.0,,,['50005808'],,310 p. ;,,,gw ,2002,"['Frankfurt am Main', 'New York']",['Lang'],4,"['Europäische Hochschulschriften. Reihe 14, Angelsächsische Sprache und Literatur,', 'Bd. 393 =', 'Publications universitaires européennes. Série XIV, Langue et littérature anglo-saxonnes ;', 'vol. 393 =', 'European university papers. Series XIV, Anglo-Saxon language and literature ;', 'vol. 393', 'Europäische Hochschulschriften.', 'Bd. 393.']",,,,,"['American literature -- Korean American authors -- History and criticism.', 'Korean Americans -- Intellectual life.', 'Korean Americans in literature.']",Erfindungen von Korean America seit 1965,,"No Korean is whole, wherever he or she may be",,/type/edition,,,,,,,[{'key': '/works/OL6018386W'}]
0,[{'key': '/authors/OL23525A'}],Eileen Spinelli ; illustrated by Emily Lisker.,"['Lisker, Emily, ill.']",,,,,/type/datetime,2008-04-01T03:28:50.625462,,/type/text,"The approach of summerhouse time at the beach brings back good memories of this annual tradition, of aunts, uncles, cousins, and grandparents cleaning, laughing, eating, playing, and relaxing.",['[E]'],,,,,['Fiction.'],,,,,['3434779'],,['3032388'],['0689824181'],,,/books/OL36643M,[{'key': '/languages/eng'}],/type/datetime,2011-04-29T12:01:39.980950,6,['PZ7.S7566 Su 2001'],['99022597'],,,,,,,,,['41017437'],,p. cm.,,,nyu,2001,['New York'],['Simon & Schuster Books for Young Readers'],6,,"['marc:marc_records_scriblio_net/part28.dat:5727457:899', 'marc:marc_loc_updates/v37.i38.records.utf8:13418736:899']",,,,"['Summer -- Fiction', 'Beaches -- Fiction', 'Family life -- Fiction']",,,Summerhouse time,,/type/edition,,,,,,,[{'key': '/works/OL61654W'}]
0,[{'key': '/authors/OL229337A'}],Peter Porter.,,,,,"[120120, 120119]",/type/datetime,2008-04-01T03:28:50.625462,,,,['821'],,,,,,,,,,"['1596413', '1596414']",,['3270165'],"['0192880977', '0192880985']",,,/books/OL366554M,[{'key': '/languages/eng'}],/type/datetime,2010-06-25T08:41:44.591788,8,['PR9619.3.P57 A17 1999'],['98027018'],,,,,,,,,,,2 v. ;,,,enk,1999,"['Oxford', 'New York']",['Oxford University Press'],8,['Oxford poets'],"['marc:marc_records_scriblio_net/part27.dat:78345542:650', 'marc:marc_loc_updates/v35.i21.records.utf8:5257889:969']",,,,,,"[{'title': 'v. 1. 1961-1981', 'type': {'key': '/type/toc_item'}}, {'title': 'v. 2. 1984-1999.', 'type': {'key': '/type/toc_item'}}]",Collected poems,,/type/edition,,,,,['Poems.'],,[{'key': '/works/OL1914552W'}]
0,[{'key': '/authors/OL1513748A'}],Jane G. Meyer,,,,,[1590825],/type/datetime,2008-04-01T03:28:50.625462,,/type/text,"Gretchen and Mia, best friends and juniors in high school, are separated when Gretchen's family moves from California to Ecuador but continue to share their hearts and experiences through their letters.",['[Fic]'],,,,,['Fiction.'],['IA111413'],,,,['745470'],,['3664460'],['0842382860'],,,/books/OL3671414M,[{'key': '/languages/eng'}],/type/datetime,2011-08-12T01:34:27.482995,10,['PZ7.M5716 Han 2003'],['2003000208'],,,,,,197.0,handsacrossmoon00meye,,['51637963'],,197 p. ;,,,ilu,2003,"['Wheaton, Ill']",['Tyndale House'],10,,['ia:handsacrossmoon00meye'],['Ecuador'],,,"['Best friends -- Fiction.', 'Friendship -- Fiction.', 'Letters -- Fiction.', 'Christian life -- Fiction.', 'Interpersonal relations -- Fiction.', 'Ecuador -- Fiction.']",,,Hands across the moon,,/type/edition,,,,,,,[{'key': '/works/OL6026418W'}]
0,[{'key': '/authors/OL61198A'}],Michel Gay.,,,,,[1324938],/type/datetime,2008-04-01T03:28:50.625462,,/type/text,"Zee brews a pot of coffee to wake his parents so he can climb into bed with them, but after spilling two full mugs he has too little coffee left to do the job unless he can think of a new plan.",['[E]'],1st American ed.,,,,['Fiction.'],,,,,['1919928'],,['2031328'],['0618381481'],,,/books/OL3671740M,[{'key': '/languages/eng'}],/type/datetime,2011-04-29T12:01:39.980950,7,['PZ7.G238 Ze 2003'],['2003001096'],,,,,,29.0,,,['51755793'],,29 p. :,,,nyu,2003,['New York'],['Clarion Books'],7,,,,,,"['Coffee -- Fiction.', 'Parent and child -- Fiction.', 'Morning -- Fiction.', 'Zebras -- Fiction.']",,,Zee,,/type/edition,['Publisher description'],['http://www.loc.gov/catdir/description/hm031/2003001096.html'],['http://www.loc.gov/catdir/description/hm031/2003001096.html'],,['Zou.'],,[{'key': '/works/OL750432W'}]
0,[{'key': '/authors/OL1424919A'}],Jennifer Rozines Roy and Johannah Haney.,"['Haney, Johannah.']",,,,[526156],/type/datetime,2008-04-01T03:28:50.625462,,,,['808.5'],,,,,['Juvenile literature.'],,,,,['2303036'],,['1788583'],['0766020878'],,,/books/OL3672154M,[{'key': '/languages/eng'}],/type/datetime,2011-04-29T12:01:39.980950,7,['PN4142 .R69 2003'],['2003002238'],,,,/type/text,Includes bibliographical references (p. 63) and index.,64.0,,,['51613887'],,64 p. :,,,nju,2003,"['Berkeley Heights, NJ']",['Enslow Publishers'],7,['You can write'],,,,,"['Speechwriting -- Juvenile literature.', 'Debates and debating -- Juvenile literature.', 'Public speaking.', 'Debates and debating.']",,"[{'title': 'You can prepare a speech and debate', 'level': 0, 'type': {'key': '/type/toc_item'}}, {'title': 'All about speeches and debates', 'level': 0, 'type': {'key': '/type/toc_item'}}, {'title': 'Before you write a speech', 'level': 0, 'type': {'key': '/type/toc_item'}}, {'title': ""You're ready to write"", 'level': 0, 'type': {'key': '/type/toc_item'}}, {'title': 'Revising, editing, and proofreading', 'level': 0, 'type': {'key': '/type/toc_item'}}, {'title': 'Presenting a speech or debate.', 'level': 0, 'type': {'key': '/type/toc_item'}}]",You can write speeches and debates,,/type/edition,,,,,,,[{'key': '/works/OL5816025W'}]
0,[{'key': '/authors/OL31419A'}],by Pegi Deitz Shea.,,,,,[393916],/type/datetime,2008-04-01T03:28:50.625462,,/type/text,"After ten years in a refugee camp in Thailand, thirteen-year-old Mai Yang travels to Providence, Rhode Island, where her Americanized cousins introduce her to pizza, shopping, and beer, while her grandmother and new friends keep her connected to her Hmong heritage.",['[Fic]'],,,,,['Fiction.'],['IA173801'],,,,['659871'],,['2351904'],['0618247483'],,,/books/OL3672200M,[{'key': '/languages/eng'}],/type/datetime,2012-03-18T05:02:30.046316,7,['PZ7.S53755 Tan 2003'],['2003002362'],,,,,,236.0,tangledthreadshm00shea,,['51848688'],,236 p. ;,,,nyu,2003,['New York'],['Clarion Books'],7,,['ia:tangledthreadshm00shea'],['Providence (R.I.)'],,,"['Refugees -- Fiction.', 'Hmong (Asian people) -- Fiction.', 'Hmong Americans -- Fiction.', 'Grandmothers -- Fiction.', 'Embroidery, Hmong -- Fiction.', 'Orphans -- Fiction.', 'Providence (R.I.) -- Fiction.']",a Hmong girl's story,,Tangled threads,,/type/edition,['Publisher description'],['http://www.loc.gov/catdir/description/hm031/2003002362.html'],['http://www.loc.gov/catdir/description/hm031/2003002362.html'],,,,[{'key': '/works/OL16550643W'}]
0,[{'key': '/authors/OL35524A'}],by R.L. Stine.,,,,,"[27751, 27750]",/type/datetime,2008-04-01T03:28:50.625462,,/type/text,"After sixteen-year-old Destiny and her twin sister Livvy are turned into partial vampires at a summer camp, they try to find the ""Restorer,"" someone who can return them to normal.",['[Fic]'],1st ed.,,,,['Fiction.'],,,,,"['2255990', '2171781']",,['535628'],"['0060530804', '0060530812']",,,/books/OL3672617M,[{'key': '/languages/eng'}],/type/datetime,2010-08-03T18:18:07.839301,6,['PZ7.S86037 Dan 2003'],['2003004101'],,,,/type/text,"""A Parachute Press book.""",247.0,,,,,247 p. ;,,,nyu,2003,['New York'],['HarperCollins Publishers'],6,,,,,,"['Vampires -- Fiction.', 'Sisters -- Fiction.', 'Twins -- Fiction.']",a novel,,Dangerous girls,,/type/edition,['Publisher description'],['http://www.loc.gov/catdir/description/hc041/2003004101.html'],['http://www.loc.gov/catdir/description/hc041/2003004101.html'],,,,[{'key': '/works/OL15095126W'}]
0,,edited by Patricia Merivale and Susan Elizabeth Sweeney.,"['Merivale, Patricia.', 'Sweeney, Susan Elizabeth, 1958-']",,,,[602650],/type/datetime,2008-04-01T03:28:50.625462,,,,['809.3/872/0904'],,,,,,,,,,"['977944', '5668063']",,['136651'],"['0812234693', '0812216768']",,,/books/OL367302M,[{'key': '/languages/eng'}],/type/datetime,2010-07-28T01:43:46.787137,6,['PN3448.D4 D39 1999'],['98027815'],,,,/type/text,Includes bibliographical references (p. [273]-283) and index.,305.0,,,,,"x, 305 p. :",,,pau,1999,['Philadelphia'],['University of Pennsylvania Press'],6,,,,['20th century'],,"['Detective and mystery stories -- History and criticism.', 'Experimental fiction -- History and criticism.', 'Fiction -- 20th century -- History and criticism.', 'Metaphysics in literature.', 'Fiction -- Technique.']",the metaphysical detective story from Poe to postmodernism,,Detecting texts,,/type/edition,,,,,,,
0,[{'key': '/authors/OL26681A'}],Nathaniel Hawthorne ; introduction by Paul Auster.,"['Auster, Paul, 1947-']",,,,[859079],/type/datetime,2008-04-01T03:28:50.625462,,,,['813/.3'],,,,,,['IA145819'],['twentydayswithj000hawt'],,,['50779'],,['273128'],['1590170423'],,,/books/OL3673579M,[{'key': '/languages/eng'}],/type/datetime,2011-12-07T08:07:11.537459,7,['PS1881 .A3 2003'],['2003006574'],,,,,,76.0,twentydayswithj000hawt,,,['Twenty days with Julian and Little Bunny by Papa'],"xliv, 76 p. ;",,,nyu,2003,['New York'],['New York Review Books'],7,,['ia:twentydayswithj000hawt'],['Massachusetts'],"['19th century.', '19th century']",,"['Hawthorne, Nathaniel, 1804-1864 -- Diaries.', 'Hawthorne, Nathaniel, 1804-1864 -- Family.', 'Hawthorne, Julian, 1846-1934 -- Childhood and youth.', 'Fathers and sons -- Massachusetts -- History -- 19th century.', 'Authors, American -- 19th century -- Diaries.']",,,Twenty days with Julian & Little Bunny by Papa,,/type/edition,,,,,,,[{'key': '/works/OL455488W'}]
0,[{'key': '/authors/OL1514201A'}],Philippe Seminet.,,,,,[4305718],/type/datetime,2008-04-01T03:28:50.625462,,,,['843/.6'],,,,,,,,,,['2073820'],,['3596494'],['0820468096'],,,/books/OL3673661M,[{'key': '/languages/eng'}],/type/datetime,2010-08-03T18:18:58.931157,7,['PQ2063.S3 A6537 2003'],['2003006801'],,,,/type/text,"Includes bibliographical references (p. [215]-223) and index.
Based on the author's thesis (Ph. D.--University of Texas at Austin, 1999) presented under the title: The public Sade: Les crimes de l'amour in context.",232.0,,,,,"ix, 232 p. ;",,,nyu,2003,['New York'],['P. Lang'],7,"['Currents in comparative Romance languages and literatures ;', 'v. 128']",,,,,"['Sade, marquis de, 1740-1814.', 'Erotic literature, French -- History and criticism.']",an analysis of Les crimes de l'amour,,Sade in his own name,,/type/edition,['Table of contents'],['http://www.loc.gov/catdir/toc/ecip041/2003006801.html'],['http://www.loc.gov/catdir/toc/ecip041/2003006801.html'],,,,[{'key': '/works/OL6027663W'}]
0,[{'key': '/authors/OL536999A'}],Susan Olasky.,,,,,[842131],/type/datetime,2008-04-01T03:28:50.625462,,/type/text,"Follows the adventures of Annie Henry, daughter of patriot Patrick Henry, as she grows up during the American Revolution.",['[Fic]'],,,,,"['Juvenile fiction.', 'Fiction.']",,,,,['1201412'],,['757942'],['1581345216'],,,/books/OL3674192M,[{'key': '/languages/eng'}],/type/datetime,2011-04-29T12:01:39.980950,8,['PZ7.O425 Ac 2003'],['2003008197'],,,,/type/text,Previously published as four separate books.,415.0,,,['52464843'],,415 p. ;,,,ilu,2003,"['Wheaton, Ill']",['Crossway Books'],8,,,"['Virginia', 'United States']","['Revolution, 1775-1783']",,"['Henry, Annie -- Juvenile fiction.', 'Henry, Patrick, 1736-1799 -- Juvenile fiction.', 'Henry, Annie -- Fiction.', 'Henry, Patrick, 1736-1799 -- Fiction.', 'Fathers and daughters -- Fiction.', 'Virginia -- History -- Revolution, 1775-1783 -- Fiction.', 'United States -- History -- Revolution, 1775-1783 -- Fiction.']",adventures in the American Revolution,"[{'value': 'Bk. 1. Annie Henry and the secret mission', 'type': '/type/text'}, {'value': 'Bk. 2. Annie Henry and the birth of liberty', 'type': '/type/text'}, {'value': 'Bk. 3. Annie Henry and the mysterious stranger', 'type': '/type/text'}, {'value': 'Bk. 4. Annie Henry and the Redcoats.', 'type': '/type/text'}, {'value': '', 'type': '/type/text'}]",Annie Henry,,/type/edition,['Table of contents'],['http://www.loc.gov/catdir/toc/ecip042/2003008197.html'],['http://www.loc.gov/catdir/toc/ecip042/2003008197.html'],,,,[{'key': '/works/OL3285990W'}]
0,[{'key': '/authors/OL221805A'}],Kate Braverman.,,,,,[846829],/type/datetime,2008-04-01T03:28:50.625462,,,,['813/.54'],1st Seven Stories Press ed.,,,,['Fiction.'],,,,,['503992'],,['7248005'],['1583225722'],,,/books/OL3674615M,[{'key': '/languages/eng'}],/type/datetime,2011-04-29T12:01:39.980950,7,['PS3552.R3555 P35 2003'],['2003009348'],,,,,,412.0,,,['52055225'],,412 p. ;,,,nyu,2003,['New York'],['Seven Stories Press'],7,,,"['Los Angeles (Calif.)', 'California']",,,"['Mexican American women -- Fiction.', 'Women -- California -- Fiction.', 'Women prophets -- Fiction.', 'Prostitutes -- Fiction.', 'Los Angeles (Calif.) -- Fiction.']",,,Palm latitudes,,/type/edition,,,,,,,[{'key': '/works/OL1853350W'}]
0,[{'key': '/authors/OL28852A'}],by Jessica Harper ; illustrated by Lindsay Harper duPont.,"['Dupont, Lindsay Harper, ill.']",,,,"[1066242, 26983]",/type/datetime,2008-04-01T03:28:50.625462,,/type/text,Lizzy tells her mother all about her up and down feelings at school that day.,['[E]'],1st ed.,,,,['Fiction.'],,,,,"['4072397', '1112611']",,['2138563'],"['0060520647', '0060520639']",,,/books/OL3674718M,[{'key': '/languages/eng'}],/type/datetime,2010-08-03T18:20:45.430707,4,['PZ8.3.H219 Lk 2004'],['2003009564'],,,,,,,,,,,1 v. (unpaged) :,,,nyu,2004,['New York'],['HarperCollins Publishers'],4,,,,,,"['Emotions -- Fiction.', 'Schools -- Fiction.', 'Stories in rhyme.']",not an ordinary school day,,Lizzy's ups and downs,,/type/edition,,,,,,,
0,,"editor, Kim Wheatley ; with a foreword by Stephen C. Behrendt.","['Wheatley, Kim, 1960-']",,,,"[1352772, 1352202]",/type/datetime,2008-04-01T03:28:50.625462,,,,['820.9/007'],,,,,,,,,,"['3885371', '5337285']",,['5705064'],"['071465437X', '0714684376']",,,/books/OL3675348M,[{'key': '/languages/eng'}],/type/datetime,2010-08-03T18:21:40.600618,5,['PR773 .R66 2003'],['2003011291'],,,,/type/text,Includes bibliographical references and index.,173.0,,,,,173 p. ;,,,enk,2003,"['London', 'Portland, OR']",['Frank Cass'],5,,,"['Great Britain', 'Great Britain.']","['19th century', '19th century.']",,"['English prose literature -- 19th century -- History and criticism.', 'English literature -- 19th century -- History and criticism -- Theory, etc.', 'Periodicals -- Publishing -- Great Britain -- History -- 19th century.', 'Criticism -- Publishing -- Great Britain -- History -- 19th century.', 'Criticism -- Great Britain -- History -- 19th century.', 'English periodicals -- History -- 19th century.', 'Romanticism -- Great Britain.', 'Great Britain -- Civilization -- 19th century.']",,,Romantic periodicals and print culture,,/type/edition,['Table of contents'],['http://www.loc.gov/catdir/toc/ecip044/2003011291.html'],['http://www.loc.gov/catdir/toc/ecip044/2003011291.html'],,,,
0,[{'key': '/authors/OL216307A'}],by Laura Driscoll ; illustrated by Paige Billin-Frye.,"['Billin-Frye, Paige, ill.']",,,,,/type/datetime,2008-04-01T03:28:50.625462,,/type/text,Dan needs to do a little scientific research before he is willing to try floating during his swimming lessons.,['[E]'],,,,,['Fiction.'],,,,,['3563219'],,,['1575651378'],,,/books/OL3675502M,[{'key': '/languages/eng'}],/type/datetime,2011-04-29T12:01:39.980950,6,['PZ7.D79 Si 2004'],['2003011701'],,,,,,,,,['52601507'],,p. cm.,,,nyu,2004,['New York'],['Kane Press'],6,['Science solves it!'],,,,,"['Swimming -- Fiction.', 'Floating bodies -- Fiction.']",,,Sink or swim,,/type/edition,,,,,,,[{'key': '/works/OL1802929W'}]
0,,edited by Sandra L. Ballard and Patricia L. Hudson.,"['Ballard, Sandra L.', 'Hudson, Patricia L.']",,,,"[607469, 607349]",/type/datetime,2008-04-01T03:28:50.625462,,,,['810.8/09287/0975'],,,,,['Literary collections.'],,,,,"['2089789', '831519']",,['1584500'],"['081312283X', '0813190665']",,,/books/OL3675911M,[{'key': '/languages/eng'}],/type/datetime,2010-08-03T18:22:31.395792,5,['PS554 .L57 2003'],['2003012680'],,,,/type/text,Includes bibliographical references (p. 647-651) and index.,673.0,,,,,"xxviii, 673 p. ;",,,kyu,2003,['Lexington'],['University Press of Kentucky'],5,,,"['Appalachian Region, Southern', 'Appalachian Region, Southern.']",,,"['American literature -- Appalachian Region, Southern.', 'Women -- Appalachian Region, Southern -- Literary collections.', 'Women and literature -- Appalachian Region, Southern.', 'American literature -- Women authors.', 'Appalachian Region, Southern -- Literary collections.']",women writing in Appalachia,,Listen here,,/type/edition,['Table of contents'],['http://www.loc.gov/catdir/toc/ecip045/2003012680.html'],['http://www.loc.gov/catdir/toc/ecip045/2003012680.html'],,,,
0,[{'key': '/authors/OL1426078A'}],Lee Clark Johns.,,,,,[750208],/type/datetime,2008-04-01T03:28:50.625462,,,,['808/.042'],,,,,,,,,,['3100132'],,['1648990'],['1401833284'],,,/books/OL3677562M,[{'key': '/languages/eng'}],/type/datetime,2010-08-03T18:24:24.273263,7,['PN147 .J55 2004'],['2003017102'],,,,/type/text,Includes index.,270.0,,,,,"xvi, 270 p. :",,,nyu,2004,"['Clifton Park, NY']",['Delmar Learning'],7,,,,,,['Authorship.'],,"[{'value': '1. Introduction to the writing process', 'type': '/type/text'}, {'value': '2. Planning', 'type': '/type/text'}, {'value': '3. Organizing', 'type': '/type/text'}, {'value': '4. Writing', 'type': '/type/text'}, {'value': '5. Editing', 'type': '/type/text'}, {'value': '6. Refining', 'type': '/type/text'}, {'value': '7. Practice', 'type': '/type/text'}, {'value': '8. Fundamentals.', 'type': '/type/text'}, {'value': '', 'type': '/type/text'}]",writing coach,The ,/type/edition,['Table of contents'],['http://www.loc.gov/catdir/toc/ecip047/2003017102.html'],['http://www.loc.gov/catdir/toc/ecip047/2003017102.html'],,,,[{'key': '/works/OL5820334W'}]
0,[{'key': '/authors/OL28174A'}],Dan Gutman.,,,,,"[27944, 27943]",/type/datetime,2008-04-01T03:28:50.625462,,/type/text,Summer vacation in their small Maine town does not look too promising until twelve-year-old Gina and four of her friends make a pact to become millionaires before school starts in September.,['[Fic]'],1st ed.,,,,['Fiction.'],,,,,"['3432202', '7099405']",,['8383'],"['0060534400', '0060534419']",,,/books/OL3678390M,[{'key': '/languages/eng'}],/type/datetime,2010-08-03T18:25:25.915094,5,['PZ7.G9846 Ge 2004'],['2003019041'],,,,,,118.0,,,,,118 p. ;,,,nyu,2004,['New York'],['HarperCollins'],5,,['marc:marc_records_scriblio_net/part14.dat:142478392:902'],['Maine'],,,"['Moneymaking projects -- Fiction', 'Clubs -- Fiction', 'Vacations -- Fiction', 'Maine -- Fiction']",,,Get Rich Quick Club,The ,/type/edition,,,,,,,[{'key': '/works/OL41318W'}]
0,[{'key': '/authors/OL537103A'}],by Edward Cline.,,,,,[957241],/type/datetime,2008-04-01T03:28:50.625462,,,,['813/.54'],,,,,['Fiction.'],,,,,['4900618'],,['1720788'],['1931561532'],,,/books/OL3678556M,[{'key': '/languages/eng'}],/type/datetime,2010-08-03T18:26:25.632066,8,['PS3553.L544 S626 2003'],['2003019403'],,,,,,223.0,,,,['Caxton'],"xii, 223 p. ;",,,cau,2003,['San Francisco'],['MacAdam/Cage Pub.'],8,"['Sparrowhawk series ;', 'bk. 3']",,['Virginia'],"['Colonial period, ca. 1600-1775']",,"['Virginia -- History -- Colonial period, ca. 1600-1775 -- Fiction.']",a novel,,Sparrowhawk.,,/type/edition,['Table of contents'],['http://www.loc.gov/catdir/toc/fy051/2003019403.html'],['http://www.loc.gov/catdir/toc/fy051/2003019403.html'],,,,[{'key': '/works/OL3286514W'}]
0,[{'key': '/authors/OL1515398A'}],D. Mark Possanza.,,,,,[4306737],,,,,,['871/.01'],,,,,,,,,,['71115'],,,['0820469394'],,,/books/OL3678619M,[{'key': '/languages/eng'}],/type/datetime,2010-04-16T04:54:06.294935,6,['PA6392.G3 P536 2004'],['2003019572'],,,,/type/text,Includes bibliographical references (p. [249]-262) and indexes.,279.0,,,,,"xiv, 279 p. ;",,,nyu,2004,['New York'],['Peter Lang'],6,"['Lang classical studies ;', 'vol. 14']",,['Rome.'],,,"['Germanicus Caesar, 15 B.C.-19 A.D.', 'Germanicus Caesar, 15 B.C.-19 A.D. -- Knowledge -- Language and languages.', 'Aratus, Solensis.', 'Didactic poetry, Greek -- Translations into Latin -- History and criticism.', 'Didactic poetry, Latin -- History and criticism.', 'Greek language -- Translating into Latin.', 'Translating and interpreting -- Rome.', 'Astronomy, Ancient, in literature.', 'Planets in literature.']","Aratus, Germanicus, and the poetics of Latin translation","[{'value': 'A new phenomenon', 'type': '/type/text'}, {'value': 'Intertraffique of the minde : a critical description of poetic translation in Latin', 'type': '/type/text'}, {'value': ""The cosmographical glass : Aratus's Phaenomena"", 'type': '/type/text'}, {'value': 'A second original', 'type': '/type/text'}, {'value': 'Doctus poeta', 'type': '/type/text'}, {'value': 'Appendix A : Authorship and date', 'type': '/type/text'}, {'value': 'Appendix B : A disputed reading', 'type': '/type/text'}, {'value': 'Bibliography', 'type': '/type/text'}, {'value': 'Index locorum', 'type': '/type/text'}, {'value': 'Index rerum.', 'type': '/type/text'}, {'value': '', 'type': '/type/text'}]",Translating the heavens,,/type/edition,['Table of contents'],['http://www.loc.gov/catdir/toc/ecip048/2003019572.html'],['http://www.loc.gov/catdir/toc/ecip048/2003019572.html'],,,,[{'key': '/works/OL6030530W'}]
0,[{'key': '/authors/OL454023A'}],Paul Zimmer.,,,,,[663633],/type/datetime,2008-04-01T03:28:50.625462,,,,"['811/.54', 'B']",,,,,"['Biography.', 'Poetry.']",,,,,['1297697'],,['2635932'],['0873387961'],,,/books/OL3679506M,[{'key': '/languages/eng'}],/type/datetime,2010-08-03T18:27:20.730294,7,['PS3576.I47 Z476 2004'],['2003021740'],,,,,,170.0,,,,,"xi, 170 p. ;",,,ohu,2004,['Kent'],['Kent State University Press'],7,,,['Ohio'],"['20th century', '20th century.']",,"['Zimmer, Paul -- Homes and haunts -- Ohio.', 'Zimmer, Paul -- Childhood and youth.', 'Poets, American -- 20th century -- Biography.', 'Ohio -- Intellectual life -- 20th century.', 'Ohio -- Social life and customs.', 'Ohio -- Poetry.']",,,Trains in the distance,,/type/edition,['Table of contents'],['http://www.loc.gov/catdir/toc/ecip049/2003021740.html'],['http://www.loc.gov/catdir/toc/ecip049/2003021740.html'],,,,[{'key': '/works/OL2969990W'}]
0,[{'key': '/authors/OL1515327A'}],by John Fornof ; based on a story by Sarah M. Hupp ; illustrated by Bernard Adnet.,"['Hupp, Sarah.', 'Adnet, Bernard, ill.', 'Focus on the Family (Organization)']",,,,[2365187],/type/datetime,2008-04-01T03:28:50.625462,,/type/text,"When Tad's mother tells him he has to clean his room before going outside to play, Cottonmouth, a lying snake, persuades him to hide everything instead of putting it away--with disastrous results.",['[E]'],,,,,['Fiction.'],['IA107012'],['tadsmessyday00forn'],,,['3014895'],,['5811592'],['0310705673'],,,/books/OL3680186M,[{'key': '/languages/eng'}],/type/datetime,2012-08-16T22:09:55.133160,9,['PZ8.3.F7738 Tad 2004'],['2003023562'],,,,,,,tadsmessyday00forn,,['54079692'],['Focus on the Family presents Ribbits!'],1 v. (unpaged) :,,,miu,2004,"['Grand Rapids, Mich']",['Zonderkidz'],9,['Ribbits'],['ia:tadsmessyday00forn'],,,,"['Obedience -- Fiction.', 'Orderliness -- Fiction.', 'Conduct of life -- Fiction.', 'Tadpoles -- Fiction.', 'Snakes -- Fiction.', 'Stories in rhyme.']",,,Tad's messy day,,/type/edition,,,,,,,[{'key': '/works/OL6030340W'}]
0,[{'key': '/authors/OL83289A'}],Egil Törnqvist.,,,,,[1476013],,,,,,['812/.52'],,,,,,,,,,['751915'],,,['0786417137'],,,/books/OL3680894M,[{'key': '/languages/eng'}],/type/datetime,2010-04-16T04:54:29.990995,5,['PS3529.N5 Z873 2004'],['2003025325'],,,,/type/text,Includes bibliographical references (p. 251-257) and index.,262.0,,,,,"vi, 262 p. ;",,,ncu,2004,"['Jefferson, N.C']",['McFarland & Co.'],5,,,,,,"[""O'Neill, Eugene, 1888-1953 -- Criticism and interpretation.""]",a playwright's theatre,,Eugene O'Neill,,/type/edition,['Table of contents'],['http://www.loc.gov/catdir/toc/ecip0411/2003025325.html'],['http://www.loc.gov/catdir/toc/ecip0411/2003025325.html'],,,,[{'key': '/works/OL941380W'}]
0,[{'key': '/authors/OL23639A'}],by Marie Bradby ; illustrated by Chris K. Soentpiet.,"['Soentpiet, Chris K., ill.']",,,,"[363436, 363357]",/type/datetime,2008-04-01T03:28:50.625462,,/type/text,"Momma describes the special people and surroundings of her childhood, in a place where the edge of town met the countryside, in a time when all the children at school were brown.",['[E]'],,,,,['Fiction.'],,,,,['1014178'],,['1535274'],"['0531301052', '0531331059']",,,/books/OL36809M,[{'key': '/languages/eng'}],/type/datetime,2010-06-23T04:42:33.588670,4,['PZ7.B7175 Mn 2000'],['99023068'],,,,,,,,,,,1 v. (unpaged) :,,,nyu,2000,['New York'],['Orchard Books'],4,,,,,,"['City and town life -- Fiction.', 'African Americans -- Fiction.', 'Mother and child -- Fiction.']",,,"Momma, where are you from?",,/type/edition,,,,,,,
0,[{'key': '/authors/OL527264A'}],Simon James ; traducción de Eida de la Vega.,"['Vega, Eida de la.']",,,,,/type/datetime,2008-04-01T03:28:50.625462,,/type/text,A young girl and her teacher correspond about the whale she has discovered in her pond.,['[E]'],,,,,['Fiction.'],,,,,['5072947'],,['1213348'],['1930332459'],,,/books/OL3682966M,[{'key': '/languages/spa'}],/type/datetime,2010-08-03T18:32:53.122820,5,['PZ73 .J33 2003'],['2003041972'],,,,,,,,,,,1 v. (unpaged) :,,,nyu,2003,['New York'],['Lectorum Publications'],5,,,,,,"['Whales -- Fiction.', 'Letters -- Fiction.', 'Spanish language materials.']",,,Querido Salvatierra,,/type/edition,,,,,['Dear Mr. Blueberry.'],,[{'key': '/works/OL3235568W'}]
