,authors,by_statement,contributions,contributors,copyright_date,covers,created.type,created.value,description,description.type,description.value,dewey_decimal_class,edition_name,first_sentence.type,first_sentence.value,full_title,genres,ia_box_id,ia_loaded_id,identifiers.goodreads,identifiers.google,identifiers.librarything,identifiers.oclc,isbn_10,isbn_13,isbn_invalid,key,languages,last_modified.type,last_modified.value,latest_revision,lc_classifications,lccn,links,location,notes,notes.type,notes.value,number_of_pages,ocaid,oclc_number,oclc_numbers,other_titles,pagination,physical_dimensions,physical_format,publish_country,publish_date,publish_places,publishers,revision,series,source_records,subject_place,subject_time,subjects,subtitle,table_of_contents,title,title_prefix,translated_from,translation_of,type.key,uri_descriptions,uris,url,weight,work_title,work_titles,works
0,[{'key': '/authors/OL841103A'}],Enid Richemont ; illustrated by Caroline Anstey.,"['Anstey, Caroline, ill.']",,,,/type/datetime,2008-04-01T03:28:50.625462,,/type/text,"On his way home from school, eight-year-old Adam discovers an unusual glass bird that seems to be alive and when he shares this discovery, he finds what he wants most, a friend.",['[Fic]'],1st U.S. ed.,,,,,,,['3305285'],,['7958439'],,['1564021955'],,,/books/OL1745222M,[{'key': '/languages/eng'}],/type/datetime,2011-04-26T13:19:59.524026,5,['PZ7.R39839 Gl 1993'],['92054585'],,,,,,107.0,,,['27431628'],,107 p. :,,,mau,1993,"['Cambridge, Mass']",['Candlewick Press'],5,,,,,"['Friendship -- Fiction.', 'Extraterrestrial beings -- Fiction.']",,,The glass bird,,,,/type/edition,,,,,,,[{'key': '/works/OL4321101W'}]
0,[{'key': '/authors/OL38988A'}],W. W. Lee.,,,,,,,,,,['823'],Large print ed.,,,,,,,['4496602'],,,,['0708974910'],,,/books/OL17460145M,[{'key': '/languages/eng'}],/type/datetime,2010-04-16T13:20:40.298266,3,,,,,,,,311.0,,,,,311p. ;,,,enk,1994,['Leicester'],['Linford'],3,['Linford western library'],,,,,,,Rustler's venom,,,,/type/edition,,,,,,,[{'key': '/works/OL548040W'}]
0,[{'key': '/authors/OL3487881A'}],Jim Harrison.,,,,,/type/datetime,2008-09-28T21:56:12.340910,,,,['813/.54'],,,,,,,,['1408410'],,['245835'],,['0002226251'],,,/books/OL17461656M,[{'key': '/languages/eng'}],/type/datetime,2013-06-06T23:47:11.202966,5,,,,,,/type/text,"Originally published, New York , Delacorte Press, 1981.",262.0,,,,,262p. ;,,,xxk,1981,['London'],['Collins'],5,,,,,,,,Warlock,,,,/type/edition,,,,,,,[{'key': '/works/OL1831216W'}]
0,[{'key': '/authors/OL76437A'}],(by) Hermann Hesse ; translated (from the German) by Denver Lindley.,"['Lindley, Denver.']",,,,/type/datetime,2008-09-28T22:16:22.069771,,,,['833/.9/1F'],,,,,,,,"['391079', '2227835']",,['46503'],,"['0224009044', '0224009087']",,,/books/OL17466060M,[{'key': '/languages/eng'}],/type/datetime,2014-07-28T11:36:35.225186,9,,,,,,/type/text,"This translation originally published, New York, Farrar, Straus and Giroux, 1972.- Translation of 'Märchen'. Berlin, S. Fischer, 1919.

ISBN 0 224 00908 7 Pbk,  0.95.",145.0,strangenewsfroma00hess,,,,"(5),145p. ;",,,xxk,1973,['London'],['Cape'],9,,['ia:strangenewsfroma00hess'],,,,,,"Strange news from another star, and other tales",,,,/type/edition,,,,,,['Märchen.'],[{'key': '/works/OL873082W'}]
0,[{'key': '/authors/OL29053A'}],Anthony Horowitz.,,,,,/type/datetime,2008-09-28T22:22:33.016412,,,,['823.914'],,,,,,,,['870347'],,['794394'],,['0744524768'],,,/books/OL17467517M,[{'key': '/languages/eng'}],/type/datetime,2013-03-08T18:51:38.237372,6,,,,,,/type/text,"Originally published: London : Methuen, 1988.",151.0,,,['31168222'],,151p. ;,,,enk,1994,['London'],['Walker'],6,,,,,,,,Groosham Grange,,,,/type/edition,,,,,,,[{'key': '/works/OL11360085W'}]
0,[{'key': '/authors/OL407973A'}],by Jerry Evans.,,,,,/type/datetime,2008-04-01T03:28:50.625462,,,,['813/.54'],,,,,,,,['4029258'],,,,['0962369837'],,,/books/OL1747592M,[{'key': '/languages/eng'}],/type/datetime,2011-04-26T13:19:59.524026,4,['PS3555.V2168 C37 1993'],['92062258'],,,,/type/text,Sequel to: Jack Ward.,127.0,,,['28061131'],,127 p. ;,,,oku,1993,"['Stillwater, Okla']",['Magnum Press'],4,,,,,['Karate -- Fiction.'],a novel,,The caretaker,,,,/type/edition,,,,,,,[{'key': '/works/OL2771450W'}]
0,[{'key': '/authors/OL1566444A'}],(by) David Lippincott.,,,,,,,,,,['823/.9/1F'],,,,,,,,['4188329'],,,,['0491018169'],,,/books/OL17491596M,[{'key': '/languages/eng'}],/type/datetime,2010-04-16T13:20:40.298266,3,,,,,,/type/text,"Originally published, New York , Putnam, 1975.",346.0,,,,,"(5),346p. ;",,,xxk,1976,['London'],['W.H. Allen'],3,,,,,['Fiction in English.'],,,Tremor Violet,,,,/type/edition,,,,,,,[{'key': '/works/OL6130834W'}]
0,,edited by Thomas Godfrey.,"['Godfrey, Thomas.']",,,,/type/datetime,2008-09-29T00:41:28.572804,,,,['823/.01/08'],,,,,,,,['7080229'],,['22577'],,['0948397594'],,,/books/OL17495893M,[{'key': '/languages/eng'}],/type/datetime,2011-04-26T13:19:59.524026,4,['PR1309.S5'],,,,,,,368.0,,,['19265084'],,(368)p.,,,xxk,1989,,"[""O'Mara""]",4,,,,,"['Short stories, English.', 'English fiction -- 20th century.']",,,Country house murders,,,,/type/edition,,,,,,,
0,[{'key': '/authors/OL591388A'}],written by Dakari Hru ; illustrated by Anna Rich.,"['Rich, Anna, 1956- ill.']",,,[4011020],/type/datetime,2008-04-01T03:28:50.625462,,/type/text,"Fearing that his classmates will ridicule his playing the kalimba in the school talent show, Joshua uses a magical Masai mask to transform himself into different people he thinks are more interesting, before realizing that his own identity is one of value.",['[Fic]'],1st ed.,,,,['Fiction.'],,,['3990357'],,['1095397'],,['1880000024'],,,/books/OL1750596M,[{'key': '/languages/eng'}],/type/datetime,2010-07-31T05:49:19.368181,5,['PZ7.H85614 Jo 1993'],['92073219'],,,,,,,,,,,1 v. (unpaged) :,,,nyu,1993,['New York'],['Lee & Low'],5,,,,,"['African Americans -- Fiction.', 'Talent shows -- Fiction.', 'Identity -- Fiction.', 'Magic -- Fiction.']",,,Joshua's Masai mask,,,,/type/edition,,,,,,,[{'key': '/works/OL3529631W'}]
0,[{'key': '/authors/OL885327A'}],"by Leslie McGuire ; illustrated by Russell Hicks, Phil Ortiz, and Eric Binder.","['Hicks, Russell, ill.', 'Ortiz, Phil, ill.', 'Binder, Eric, ill.', 'Walt Disney Company.']",,,[7227536],/type/datetime,2008-04-01T03:28:50.625462,,/type/text,"The Beast wants very much to show Belle that he cares for her, but he doesn't quite know how. Then Lumiere and the other enchanted objects come up with the perfect gift--a lovely rose necklace!",['[E]'],,,,,,['IA113601'],['disneysbeautybea00mcgu'],['2573332'],,,,['0307161528'],,,/books/OL1752024M,[{'key': '/languages/eng'}],/type/datetime,2012-08-17T01:44:09.487972,6,['PZ7.M4878 Di 1993'],['92075518'],,,,/type/text,"""A Golden book, New York.""
""A Golden book and necklace""--Cover.
Includes child's rose necklace in plastic bubble on cover.",,disneysbeautybea00mcgu,,['29643536'],"['Beauty and the beast', 'Gift of love']",1 v. (unpaged) :,,,wiu,1993,"['Racine, Wis']",['Western Pub. Co.'],6,,['ia:disneysbeautybea00mcgu'],,,"['Gifts -- Fiction.', 'Necklaces -- Fiction.']",,,Disney's Beauty and the beast.,,,,/type/edition,,,,,,,[{'key': '/works/OL2463971W'}]
0,[{'key': '/authors/OL26276A'}],Ray Gonzalez.,,,,[4011673],/type/datetime,2008-04-01T03:28:50.625462,,,,"['811/.54', 'B']",,,,,,,,['2678912'],,['1503161'],,['0913089494'],,,/books/OL1752147M,[{'key': '/languages/eng'}],/type/datetime,2010-07-31T05:50:56.013564,5,['PS3557.O476 Z472 1993'],['92075710'],,,,,,223.0,,,['28370998'],,"vii, 223 p. ;",,,wau,1993,['Seattle'],['Broken Moon Press'],5,,['marc:marc_records_scriblio_net/part22.dat:191535372:897'],"['El Paso (Tex.)', 'Texas', 'El Paso']",['20th century'],"['González, Ray', 'Authors, American -- 20th century -- Biography', 'Mexican Americans -- Texas -- El Paso -- Social life and customs', 'Mexican American authors -- Biography', 'El Paso (Tex.) -- Social life and customs']",a journey beyond El Paso del Norte,,Memory fever,,,,/type/edition,,,,,,,[{'key': '/works/OL27217W'}]
0,[{'key': '/authors/OL1041931A'}],(text by) Dorothy Edwards & (illustrations by) Shirley Hughes.,"['Hughes, Shirley, 1929-']",,,,/type/datetime,2008-09-29T04:03:32.193665,,,,['823/.9/1'],,,,,,,,['1299801'],,,,['0749701234'],,,/books/OL17525813M,[{'key': '/languages/eng'}],/type/datetime,2011-04-26T13:19:59.524026,5,,,,,,,,24.0,,,['20797894'],,(24)p.,,,xxk,1989,['London'],['Little Mammoth'],5,,,,,"[""Children's stories.""]",,,My naughty little sister at the fair,,,,/type/edition,,,,,,,[{'key': '/works/OL10602693W'}]
0,[{'key': '/authors/OL29472A'}],S.P. Somtow.,,,,,/type/datetime,2008-09-29T05:24:10.280652,,,,['813.54'],,,,,,,,['1931286'],,['128018'],,['0575061227'],,,/books/OL17541442M,[{'key': '/languages/eng'}],/type/datetime,2011-04-26T13:19:59.524026,5,,,,,,,,351.0,,,['38040719'],,351p. ;,,,enk,1997,['London'],['Gollancz'],5,,['marc:talis_openlibrary_contribution/talis-openlibrary-contribution.mrc:1619612709:516'],,,,,,Darker angels,,,,/type/edition,,,,,,,[{'key': '/works/OL102414W'}]
0,[{'key': '/authors/OL20797A'}],Gilbert Morris.,,,,,/type/datetime,2008-09-29T07:45:07.074034,,,,['813/.54'],New trade pbk. ed.,,,,['Fiction.'],,,['191246'],,['392862'],,['0800731840'],['9780800731847'],,/books/OL17553845M,[{'key': '/languages/eng'}],/type/datetime,2011-11-12T00:32:32.223229,8,['PS3563.O8742 T568 2007'],['2006101197'],,,,/type/text,"Originally published: A time to weep. Grand Rapids, Mich. : Fleming H. Revell, 1996.",,,,,,p. cm.,,,miu,2007,"['Grand Rapids, MI']",['Fleming H. Revell'],8,['American century series -- bk. 4'],"['marc:marc_loc_updates/v35.i13.records.utf8:10494300:1686', 'marc:marc_loc_updates/v35.i23.records.utf8:10476273:1675']",,,"['Depressions -- Fiction', 'Nineteen thirties -- Fiction']",,"[{'type': {'key': '/type/toc_item'}, 'title': ""{'level': 0, 'label': '', 'pagenum': '', 'title': 'Part one: The Ozarks'}""}, {'type': {'key': '/type/toc_item'}, 'title': ""{'level': 0, 'label': '', 'pagenum': '', 'title': 'Hard times'}""}, {'type': {'key': '/type/toc_item'}, 'title': ""{'level': 0, 'label': '', 'pagenum': '', 'title': 'On the road'}""}, {'type': {'key': '/type/toc_item'}, 'title': ""{'level': 0, 'label': '', 'pagenum': '', 'title': 'A friend'}""}, {'type': {'key': '/type/toc_item'}, 'title': '{\'level\': 0, \'label\': \'\', \'pagenum\': \'\', \'title\': \'""I\\\'m a Stuart!""\'}'}, {'type': {'key': '/type/toc_item'}, 'title': ""{'level': 0, 'label': '', 'pagenum': '', 'title': 'Christmas in the Ozarks'}""}, {'type': {'key': '/type/toc_item'}, 'title': ""{'level': 0, 'label': '', 'pagenum': '', 'title': 'Dent takes a vacation'}""}, {'type': {'key': '/type/toc_item'}, 'title': ""{'level': 0, 'label': '', 'pagenum': '', 'title': 'Part two: Hollywood'}""}, {'type': {'key': '/type/toc_item'}, 'title': ""{'level': 0, 'label': '', 'pagenum': '', 'title': 'An old flame'}""}, {'type': {'key': '/type/toc_item'}, 'title': ""{'level': 0, 'label': '', 'pagenum': '', 'title': 'Trouble with Adam'}""}, {'type': {'key': '/type/toc_item'}, 'title': ""{'level': 0, 'label': '', 'pagenum': '', 'title': 'In defense of Winona dance'}""}, {'type': {'key': '/type/toc_item'}, 'title': ""{'level': 0, 'label': '', 'pagenum': '', 'title': 'Bonnie meets a star'}""}, {'type': {'key': '/type/toc_item'}, 'title': ""{'level': 0, 'label': '', 'pagenum': '', 'title': 'A narrow escape'}""}, {'type': {'key': '/type/toc_item'}, 'title': ""{'level': 0, 'label': '', 'pagenum': '', 'title': 'The gospel for everyone'}""}, {'type': {'key': '/type/toc_item'}, 'title': ""{'level': 0, 'label': '', 'pagenum': '', 'title': 'Part three: Wildcat rig'}""}, {'type': {'key': '/type/toc_item'}, 'title': ""{'level': 0, 'label': '', 'pagenum': '', 'title': 'A strange afternoon'}""}, {'type': {'key': '/type/toc_item'}, 'title': ""{'level': 0, 'label': '', 'pagenum': '', 'title': 'Kingman strikes back'}""}, {'type': {'key': '/type/toc_item'}, 'title': '{\'level\': 0, \'label\': \'\', \'pagenum\': \'\', \'title\': \'""You\\\'ve got to give her up!""\'}'}, {'type': {'key': '/type/toc_item'}, 'title': ""{'level': 0, 'label': '', 'pagenum': '', 'title': 'Under siege'}""}, {'type': {'key': '/type/toc_item'}, 'title': ""{'level': 0, 'label': '', 'pagenum': '', 'title': 'Mr. Kingman gets a surprise'}""}, {'type': {'key': '/type/toc_item'}, 'title': ""{'level': 0, 'label': '', 'pagenum': '', 'title': 'Dent finds a change'}""}, {'type': {'key': '/type/toc_item'}, 'title': ""{'level': 0, 'label': '', 'pagenum': '', 'title': 'Part four: Summer of hope'}""}, {'type': {'key': '/type/toc_item'}, 'title': ""{'level': 0, 'label': '', 'pagenum': '', 'title': 'Last chance'}""}, {'type': {'key': '/type/toc_item'}, 'title': ""{'level': 0, 'label': '', 'pagenum': '', 'title': 'No exit'}""}, {'type': {'key': '/type/toc_item'}, 'title': ""{'level': 0, 'label': '', 'pagenum': '', 'title': 'The Stuart line'}""}, {'type': {'key': '/type/toc_item'}, 'title': ""{'level': 0, 'label': '', 'pagenum': '', 'title': 'Kingman meets his match'}""}, {'type': {'key': '/type/toc_item'}, 'title': '{\'level\': 0, \'label\': \'\', \'pagenum\': \'\', \'title\': ""It\'s never too late""}'}, {'type': {'key': '/type/toc_item'}, 'title': ""{'level': 0, 'label': '', 'pagenum': '', 'title': 'The end and the beginning.'}""}]",A season of dreams,,,,/type/edition,['Table of contents only'],['http://www.loc.gov/catdir/toc/ecip076/2006101197.html'],['http://www.loc.gov/catdir/toc/ecip076/2006101197.html'],,,['Time to weep'],[{'key': '/works/OL14854781W'}]
0,[{'key': '/authors/OL19962A'}],by Candice Ransom.,,,,,/type/datetime,2008-09-29T07:49:09.137758,,/type/text,"Although fearful at first, eight-year-old Maddie soon begins to enjoy living in the country and getting to know her new stepfather.",['[Fic]'],,,,,['Fiction.'],,,['1561578'],,['3374751'],,,['9780822571421'],,/books/OL17554251M,[{'key': '/languages/eng'}],/type/datetime,2011-04-26T13:19:59.524026,7,['PZ7.R1743 Se 2007'],['2006101326'],,,,,,,,,['81149573'],,p. cm.,,,mnu,2007,"['Minneapolis, MN']",['Carolrhoda Books'],7,,"['marc:marc_loc_updates/v35.i13.records.utf8:10626372:982', 'marc:marc_loc_updates/v36.i12.records.utf8:5766990:969']",,,"['Stepfathers -- Fiction', 'Remarriage -- Fiction', 'Moving, Household -- Fiction', 'Fear -- Fiction', 'Country life -- Fiction']",,,Seeing sky-blue pink,,,,/type/edition,['Table of contents only'],['http://www.loc.gov/catdir/toc/ecip079/2006101326.html'],['http://www.loc.gov/catdir/toc/ecip079/2006101326.html'],,,,[{'key': '/works/OL15049014W'}]
0,[{'key': '/authors/OL443016A'}],Tijan M. Sallah.,,,,,/type/datetime,2008-09-29T08:24:42.811223,,,,['821/.914'],,,,,,,,"['4235398', '3047765']",,,,"['1592215300', '1592215319']",,,/books/OL17558930M,[{'key': '/languages/eng'}],/type/datetime,2010-04-16T13:23:15.349686,7,['PR9378.9.S18 D73 2007'],['2006103484'],,,,/type/text,Includes bibliographical references and index.,,,,,,p. cm.,,,nju,2007,['Trenton NJ'],['Africa World Press'],7,,"['marc:marc_loc_updates/v35.i13.records.utf8:12625256:712', 'marc:marc_loc_updates/v36.i15.records.utf8:4257854:872', 'marc:marc_loc_updates/v36.i16.records.utf8:5140030:872', 'marc:marc_loc_updates/v37.i44.records.utf8:3759918:872']",,,,new and selected poems,,Dream kingdom,,,,/type/edition,['Table of contents only'],['http://www.loc.gov/catdir/toc/ecip077/2006103484.html'],['http://www.loc.gov/catdir/toc/ecip077/2006103484.html'],,,,[{'key': '/works/OL2907985W'}]
0,[{'key': '/authors/OL229556A'}],W.S. Merwin.,,,,,/type/datetime,2008-09-29T09:05:08.288302,,,,['813/.54'],,,,,,,,['204245'],,['3251846'],,,['9781556592560'],,/books/OL17565031M,[{'key': '/languages/eng'}],/type/datetime,2010-08-18T07:57:02.752066,5,['PS3563.E75 B65 2007'],['2007001352'],,,,,,,,,,,p. cm.,,,wau,2007,"['Port Townsend, Wash']",['Copper Canyon Press'],5,,,,,,,,book of fables,The ,,,/type/edition,['Table of contents only'],['http://www.loc.gov/catdir/toc/ecip078/2007001352.html'],['http://www.loc.gov/catdir/toc/ecip078/2007001352.html'],,,,[{'key': '/works/OL1916035W'}]
0,[{'key': '/authors/OL288587A'}],Mickey Zucker Reichert.,,,,,/type/datetime,2008-09-29T09:10:05.703655,,,,['813.54'],,,,,,,,['1362606'],,['241892'],,['1857981529'],,,/books/OL17565839M,[{'key': '/languages/eng'}],/type/datetime,2010-08-18T07:57:02.752066,4,,,,,,,,533.0,,,,,533p. ;,,,enk,1993,['London'],['Millennium'],4,,,,,,,,last of the Renshai,The ,,,/type/edition,,,,,,,[{'key': '/works/OL2235173W'}]
0,[{'key': '/authors/OL29751A'}],by Julia Alvarez ; traducción de Mercedes Guhl.,"['Guhl, Mercedes.']",,,,/type/datetime,2008-09-29T09:20:01.278417,,,,['813/.54'],,,,,['Fiction.'],,,['11209'],,['8093'],,,['9781400096947'],,/books/OL17567521M,[{'key': '/languages/spa'}],/type/datetime,2010-08-18T07:57:58.298316,6,['PS3551.L845 H6618 2007'],['2007002391'],,,,/type/text,Sequel: Yo!,,,,,,p. cm.,,,nyu,2007,['Nueva York'],['Vintage Español'],6,,"['marc:marc_loc_updates/v35.i13.records.utf8:18593101:1046', 'marc:marc_loc_updates/v36.i25.records.utf8:9538068:1069']",,,"['Sisters -- Fiction', 'Young women -- Fiction', 'Dominican Americans -- Fiction', 'Bronx (New York, N.Y.) -- Fiction']",,,De cómo las muchachas García perdieron el acento,,,,/type/edition,['Table of contents only'],['http://www.loc.gov/catdir/toc/ecip079/2007002391.html'],['http://www.loc.gov/catdir/toc/ecip079/2007002391.html'],,,['How the García girls lost their accents.'],[{'key': '/works/OL116086W'}]
0,[{'key': '/authors/OL4390824A'}],John Cunliffe.,,,,,/type/datetime,2008-09-29T09:27:13.472624,,,,['821.914'],,,,,,,,['3101581'],,['2122992'],,['0590131605'],,,/books/OL17568490M,[{'key': '/languages/eng'}],/type/datetime,2010-08-18T07:57:58.298316,4,,,,,,,,96.0,,,,,96p. :,,,enk,1995,['London'],['Scholastic'],4,['Young hippo series'],,,,,,,John Cunliffe's fizzy whizzy poetry book,,,,/type/edition,,,,,,,[{'key': '/works/OL10568756W'}]
0,[{'key': '/authors/OL200407A'}],Philip Ridley.,,,,,,,,,,['823.914'],Large Print ed.,,,,,,,['5180708'],,,,['0745116388'],,,/books/OL17571117M,[{'key': '/languages/eng'}],/type/datetime,2010-04-16T13:23:15.349686,3,,,,,,,,192.0,,,,,(192)p. ;,,,enk,1992,['Bath'],['Chivers Press'],3,"['A Lythway book', ""Lythway Children's Books""]",,,,,,,Krindlekrax,,,,/type/edition,,,,,,,[{'key': '/works/OL1737504W'}]
0,[{'key': '/authors/OL22361A'}],Kenneth J.A. Wishnia.,,,,"[5381827, 5377353, 4758845]",/type/datetime,2008-09-29T16:05:18.789866,,,,['863'],,,,,,,,['1191744'],,['2489690'],,['0838754325'],,,/books/OL17591533M,[{'key': '/languages/eng'}],/type/datetime,2010-08-18T07:59:39.026363,6,['PQ8212 .W57 1999'],['99015513'],,,,/type/text,Includes bibliographical references (p. 185-193) and index.,202.0,,,['41256145'],,202 p. :,,,pau,1999,"['Lewisburg [Pa.]', 'London']","['Bucknell University Press', 'Associated University Presses']",6,,['marc:marc_oregon_summit_records/catalog_files/washs02192008.mrc_revrev.mrc:1444593840:1005'],,,['Ecuadorian fiction -- 20th century -- History and criticism'],new readings in the context of the Americas,,Twentieth-century Ecuadorian narrative,,,,/type/edition,,,,,,,[{'key': '/works/OL176116W'}]
0,[{'key': '/authors/OL19690A'}],"Henry D. Thoreau ; edited by Carl F. Hovde, William L. Howarth, and Elizabeth Hall Witherell ; with an introduction by John McPhee.","['Hovde, Carl.', 'Howarth, William L., 1940-', 'Witherell, Elizabeth Hall.', 'McPhee, John, 1931-', 'Modern Language Association of America. Center for Editions of American Authors.']",,,,/type/datetime,2008-09-29T20:30:08.184313,,,,"['818/.309', '974.2/72', '917.427203092']",,,,,,,,['290587'],,['27586'],,['0691118787'],['9780691118789'],,/books/OL17632269M,[{'key': '/languages/eng'}],/type/datetime,2014-07-31T15:41:36.110859,10,['F72.M7 T5 2004'],['2004101369'],,,,/type/text,"Originally published: 1849.

""The definitive text as approved by the Center for Editions of American Authors of the Modern Language Association of America""--Cover, p. [4].

Includes index.",415.0,weekonconcordmer00henr,,['55794348'],,"xlvi, 415 p. ;",,,nju,2004,"['Princeton , NJ']",['Princeton University Press'],10,"['The writings of Henry D. Thoreau', 'Princeton paperbacks']","['marc:marc_oregon_summit_records/catalog_files/washs02192008.mrc_revrev.mrc:1872755976:2529', 'ia:weekonconcordmer00henr']",,,"['Thoreau, Henry David, -- 1817-1862 -- Travel -- Massachusetts -- Concord River', 'Thoreau, Henry David, -- 1817-1862 -- Travel -- Merrimack River (N.H. and Mass.)', 'Concord River (Mass.) -- Description and travel', 'Merrimack River (N.H. and Mass.) -- Description and travel', 'Concord River Valley (Mass.) -- Description and travel', 'Merrimack River Valley (N.H. and Mass.) -- Description and travel']",,,A week on the Concord and Merrimack rivers,,,,/type/edition,,,"['http://catdir.loc.gov/catdir/bios/prin051/2004101369.html', 'http://catdir.loc.gov/catdir/toc/prin051/2004101369.html']",,,,[{'key': '/works/OL55670W'}]
0,[{'key': '/authors/OL383828A'}],compiled and edited by Hans M. Zell and Helene Silver. With contributions by Barbara Abrash and Gideon-Cyrus M. Mutiso.,"['Silver, Helene.', 'Abrash, Barbara.']",,,,/type/datetime,2008-09-30T22:14:08.315746,,,,['809/.8967'],,,,,"['Bibliography.', 'Bio-bibliography.']",,,['4627224'],,['1648520'],,['0841900183'],,,/books/OL17753634M,[{'key': '/languages/eng'}],/type/datetime,2010-08-18T08:09:41.464414,4,['PR9798 .Z4'],,,,,,,218.0,,,,,"xxi, 218 p.",,,nyu,1971,['New York'],['Africana Pub. Corp.'],4,,,,,"['African literature (English) -- History and criticism -- Bibliography.', 'African literature (French) -- History and criticism -- Bibliography.', 'African literature (English) -- Bio-bibliography.', 'African literature (French) -- Bio-bibliography.']",,,reader's guide to African literature,A ,,,/type/edition,,,,,,,[{'key': '/works/OL2634277W'}]
0,[{'key': '/authors/OL345431A'}],Robert Crawford.,,,,"[5383237, 4117013]",,,,,,['821/.912'],,,,,,,,['4217933'],,,,['019812869X'],,,/books/OL17772789M,[{'key': '/languages/eng'}],/type/datetime,2010-04-16T13:24:44.364683,4,['PS3509.L43 Z654 1987'],,,,,/type/text,"Based on the author's thesis (D. Phil.)--Oxford University.

Includes index.

Bibliography: p. [239]-243.",251.0,,,,,"xii, 251 p. :",,,enk,1987,"['Oxford [Oxfordshire]', 'New York']",['Clarendon Press'],4,"['Oxford English monographs', 'Oxford English monographs']",,,,"['Eliot, T. S. -- 1888-1965 -- Criticism and interpretation.', 'City and town life in literature.', 'Primitive societies in literature.', 'Literature and anthropology.', 'Primitivism in literature.']",,,savage and the city in the work of T.S. Eliot,The ,,,/type/edition,,,,,,,[{'key': '/works/OL2475596W'}]
0,[{'key': '/authors/OL2817959A'}],Michael A. Hughes and George F. Hayhoe.,"['Hayhoe, George F.']",,,,/type/datetime,2008-10-06T13:04:47.218028,,,,['808/.0666'],,,,,,,,"['812989', '4381198']",,['6396135'],,,"['9780805853360', '9780805863352']",,/books/OL17848437M,[{'key': '/languages/eng'}],/type/datetime,2010-08-18T08:14:49.792045,5,['T10.5 .H84 2007'],['2007003449'],,,,/type/text,Includes bibliographical references and index.,,,,,,p. cm.,,,flu,2007,['Boca Raton'],['Taylor & Francis'],5,,,,,['Communication of technical information -- Research.'],,,Research in technical communication,,,,/type/edition,['Table of contents only'],['http://www.loc.gov/catdir/toc/ecip079/2007003449.html'],['http://www.loc.gov/catdir/toc/ecip079/2007003449.html'],,,,[{'key': '/works/OL8447879W'}]
0,[{'key': '/authors/OL86982A'}],by Lawrence Ferlinghetti.,,,,,/type/datetime,2008-10-06T14:29:05.575497,,,,['811/.54'],,,,,,,,['807911'],,['3253674'],,,['9780811217194'],,/books/OL17855233M,[{'key': '/languages/eng'}],/type/datetime,2010-08-18T08:18:56.579722,5,['PS3511.E557 P56 2007'],['2007011396'],,,,/type/text,"""A New Directions Book.""

Includes bibliographical references.",,,,,,p. cm.,,,nyu,2007,['New York'],['New Directions'],5,,"['marc:marc_loc_updates/v35.i13.records.utf8:26062722:618', 'marc:marc_loc_updates/v35.i16.records.utf8:16735806:718']",,,,,,Poetry as an insurgent art,,,,/type/edition,,,,,,,[{'key': '/works/OL964714W'}]
0,[{'key': '/authors/OL34337A'}],by Michael Ondaatje.,,,,,/type/datetime,2008-10-06T14:42:55.519584,,,,['813/.54'],1st large print ed.,,,,['Fiction.'],,,['909098'],,['2155699'],,,['9780739327326'],,/books/OL17856508M,[{'key': '/languages/eng'}],/type/datetime,2011-04-26T13:19:59.524026,6,['PR9199.3.O5 D58 2007b'],['2007012591'],,,,,,,,,['85846590'],,p. cm.,,,nyu,2007,['New York'],['Random House Large Print'],6,,"['marc:marc_loc_updates/v35.i13.records.utf8:26554788:684', 'marc:marc_loc_updates/v35.i26.records.utf8:10900762:690']",,,"['Sisters -- Fiction', 'Adopted children -- Fiction', 'Large type books']",,,Divisadero,,,,/type/edition,,,,,,,[{'key': '/works/OL53064W'}]
0,,Debbie Macomber.,,,,,/type/datetime,2008-10-06T14:43:11.275255,,,,['813/.54'],,,,,,,,['6442115'],,['213905'],,,['9781602850422'],,/books/OL17856544M,[{'key': '/languages/eng'}],/type/datetime,2013-04-08T08:32:10.604736,6,['PS3563.A2364 S595 2007'],['2007012697'],,,,,,,,,,,p. cm.,,,meu,2007,"['Thorndike, Me']",['Center Point Pub.'],6,,,,,['Large type books.'],,,Some kind of wonderful,,,,/type/edition,,,,,,,[{'key': '/works/OL1911493W'}]
0,[{'key': '/authors/OL40097A'}],by May Sarton.,,,,[5385552],/type/datetime,2008-10-06T14:48:51.835023,,,,['823/.9/1F'],,,,,,,,['953329'],,,,['0575020571'],,,/books/OL17857051M,[{'key': '/languages/eng'}],/type/datetime,2010-04-16T13:24:44.364683,4,,,,,,,,156.0,,,,,156p. ;,,,xxk,1975,['London'],['Gollancz'],4,,['marc:talis_openlibrary_contribution/talis-openlibrary-contribution.mrc:1645219909:577'],,,['Fiction in English'],a novel,,Crucial conversations,,,,/type/edition,,,,,,,[{'key': '/works/OL84216W'}]
