,authors,by_statement,contributions,contributors,copyright_date,covers,create,created.type,created.value,description,description.type,description.value,dewey_decimal_class,edition_name,first_sentence.type,first_sentence.value,full_title,genres,ia_box_id,ia_loaded_id,identifiers.goodreads,identifiers.google,identifiers.librarything,isbn_10,isbn_13,isbn_invalid,key,languages,last_modified.type,last_modified.value,latest_revision,lc_classifications,lccn,links,location,notes,notes.type,notes.value,number_of_pages,ocaid,oclc_number,oclc_numbers,other_titles,pagination,physical_dimensions,physical_format,publish_country,publish_date,publish_places,publishers,revision,series,source_records,subject_place,subject_time,subjects,subtitle,table_of_contents,title,title_prefix,translated_from,translation_of,type.key,uri_descriptions,uris,url,weight,work_title,work_titles,works
0,[{'key': '/authors/OL1431074A'}],J. David Stevens.,,,,[2649079],,/type/datetime,2008-04-01T03:28:50.625462,,,,['813/.6'],,,,,,,,['1616880'],,['3994567'],"['0814251536', '081429104X']",,,/books/OL3412711M,[{'key': '/languages/eng'}],/type/datetime,2010-08-02T19:42:30.727161,5,['PS3619.T4797 M49 2006'],['2005028819'],,,,,,,,,,,p. cm.,,,ohu,2006,['Columbus'],['Ohio State University Press'],5,,,,,,,,Mexico is missing and other stories,,,,/type/edition,,,,,,,[{'key': '/works/OL5836677W'}]
0,[{'key': '/authors/OL2753380A'}],"James D. Lester, Sr., James D. Lester, Jr.","['Lester, James D., 1959-']",,,[193344],,/type/datetime,2008-04-01T03:28:50.625462,,,,['808/.0663'],,,,,"['Handbooks, manuals, etc.']",,,['1454632'],,['1639168'],['032126763X'],,,/books/OL3413266M,[{'key': '/languages/eng'}],/type/datetime,2011-02-24T05:23:25.682600,8,['PE1479.S62 L47 2005'],['2005029394'],,,,/type/text,Includes index.,,,,,,p. cm.,,,nyu,2005,['New York'],['Pearson/Longman'],8,,"['marc:marc_records_scriblio_net/part15.dat:134637504:893', 'marc:marc_loc_updates/v36.i05.records.utf8:32847537:1087', 'marc:marc_loc_updates/v36.i29.records.utf8:6667653:1093']",,,"['Social sciences -- Authorship -- Handbooks, manuals, etc', 'Social sciences -- Research -- Methodology -- Handbooks, manuals, etc', 'English language -- Rhetoric -- Handbooks, manuals, etc', 'Report writing -- Handbooks, manuals, etc']",,,Writing research papers in the social sciences,,,,/type/edition,,,,,,,[{'key': '/works/OL1826110W'}]
0,[{'key': '/authors/OL1431471A'}],by Jon F. Baxley.,,,,[872153],,/type/datetime,2008-04-01T03:28:50.625462,,,,['813/.6'],1st ed.,,,,['Fiction.'],,,['2625963'],,['1037944'],['1594144516'],,,/books/OL3414050M,[{'key': '/languages/eng'}],/type/datetime,2011-04-27T13:17:38.156837,6,['PS3602.A974 B57 2006'],['2005030201'],,,,,,,,,['62127838'],,p. cm.,,,meu,2006,"['Waterville, Me']",['Five Star'],6,,,,,['Magicians -- Fiction.'],,,The Blackgloom bounty,,,,/type/edition,,,,,,,[{'key': '/works/OL5837952W'}]
0,[{'key': '/authors/OL733611A'}],Margarita Robleda Moguel ; ilustraciones de Maribel Suárez.,"['Suárez, Maribel, 1952- ill.']",,,[2003225],,/type/datetime,2008-04-01T03:28:50.625462,,/type/text,"Drawings of everyday objects, animals, and activities illustrate the shape of each vowel.",['[E]'],,,,,['Juvenile fiction.'],,,['2594138'],,['3051008'],['1598202103'],,,/books/OL3414814M,[{'key': '/languages/spa'}],/type/datetime,2011-04-27T13:17:38.156837,6,['PZ74.3 .M535 2006'],['2005030979'],,,,,,,,,['62188899'],,p. cm.,,,flu,2006,['Miami'],['Alfaguara'],6,['Rana rema rimas'],,,,"['Spanish language -- Juvenile fiction.', 'Spanish language materials.']",,,Jugando con las vocales,,,,/type/edition,,,,,,,[{'key': '/works/OL3991818W'}]
0,[{'key': '/authors/OL774876A'}],Jonathan Aaron.,,,,[2121162],,/type/datetime,2008-04-01T03:28:50.625462,,,,['811/.54'],1st ed.,,,,,,,['1361493'],,['4290625'],['1931337306'],,,/books/OL3417882M,[{'key': '/languages/eng'}],/type/datetime,2015-10-18T04:35:43.049140,7,['PS3551.A7 J68 2006'],['2005034202'],,,,/type/text,Includes bibliographical references.,,journeytolostcit00aaro,,['62342140'],,p. cm.,,,nyu,2006,"['Keene, NY', 'Saint Paul, MN']","['Ausable Press', 'Distributed to the trade by Consortium Book Sales & Distribution']",7,,['ia:journeytolostcit00aaro'],,,,,,Journey to the lost city,,,,/type/edition,,,,,,,[{'key': '/works/OL4126575W'}]
0,[{'key': '/authors/OL1385922A'}],Tracey Bateman.,,,,[288660],,/type/datetime,2008-04-01T03:28:50.625462,,/type/text,"""Claire Everett, an overwhelmed single mother, enlists the help of a life coach to get a grip on the chaos in her life""--Provided by the publisher.",['813/.6'],1st ed.,,,,['Fiction.'],,,['863358'],,['1073995'],['0446696064'],['9780446696067'],,/books/OL3418960M,[{'key': '/languages/eng'}],/type/datetime,2010-08-02T19:51:03.693249,7,['PS3602.A854 C57 2006'],['2005035341'],,,,,,,,,,,p. cm.,,,nyu,2006,['New York'],['Warner Faith'],7,,"['marc:marc_records_scriblio_net/part15.dat:140854938:826', 'marc:marc_loc_updates/v37.i31.records.utf8:5569487:1146']",,,"['Women novelists -- Fiction', 'Single mothers -- Fiction']",,,Claire knows best,,,,/type/edition,,,,,,,[{'key': '/works/OL5689794W'}]
0,[{'key': '/authors/OL1433319A'}],by Susan Steinberg.,,,,[825381],,/type/datetime,2008-04-01T03:28:50.625462,,,,['813/.6'],1st ed.,,,,,,,['966894'],,['746661'],['1573661295'],,,/books/OL3419628M,[{'key': '/languages/eng'}],/type/datetime,2011-04-27T13:17:38.156837,6,['PS3619.T4762 H93 2006'],['2005036138'],,,,/type/text,Short stories.,,,,['62679828'],,p. cm.,,,ilu,2006,['Normal [Ill.]'],['FC2'],6,,,,,,,"[{'title': 'Lifelike', 'level': 0, 'type': {'key': '/type/toc_item'}}, {'title': 'Souvenir', 'level': 0, 'type': {'key': '/type/toc_item'}}, {'title': 'Caught', 'level': 0, 'type': {'key': '/type/toc_item'}}, {'title': 'The last guest', 'level': 0, 'type': {'key': '/type/toc_item'}}, {'title': 'Invitation', 'level': 0, 'type': {'key': '/type/toc_item'}}, {'title': 'To sit, unmoving', 'level': 0, 'type': {'key': '/type/toc_item'}}, {'title': 'The walk', 'level': 0, 'type': {'key': '/type/toc_item'}}, {'title': 'The garage', 'level': 0, 'type': {'key': '/type/toc_item'}}, {'title': 'Court', 'level': 0, 'type': {'key': '/type/toc_item'}}, {'title': 'Static', 'level': 0, 'type': {'key': '/type/toc_item'}}, {'title': 'How it starts', 'level': 0, 'type': {'key': '/type/toc_item'}}, {'title': 'Hydroplane.', 'level': 0, 'type': {'key': '/type/toc_item'}}]",Hydroplane,,,,/type/edition,,,,,,,[{'key': '/works/OL5842971W'}]
0,[{'key': '/authors/OL1386143A'}],Julie Leto.,,,,"[6605085, 759422]",,/type/datetime,2008-04-01T03:28:50.625462,,,,['813/.6'],1st Downtown Press trade pbk. ed.,,,,['Fiction.'],['IA122503'],,['38924'],,['356253'],['1416501622'],,,/books/OL3421102M,[{'key': '/languages/eng'}],/type/datetime,2011-08-11T23:57:34.426798,10,['PS3612.E82885 D57 2005'],['2005041334'],,,,,,315.0,dirtylittlesecre00leto,,['57722536'],,315 p. ;,,,nyu,2005,['New York'],['Downtown Press'],10,,"['marc:marc_records_scriblio_net/part15.dat:143021300:731', 'marc:marc_loc_updates/v38.i04.records.utf8:5042497:1045', 'ia:dirtylittlesecre00leto']",['Tampa (Fla.)'],,"['Hispanic American women -- Fiction', 'Tampa (Fla.) -- Fiction']",,,Dirty little secrets,,,,/type/edition,,,,,,,[{'key': '/works/OL5694084W'}]
0,[{'key': '/authors/OL5152266A'}],Jim Butcher.,,,,[284258],,/type/datetime,2008-04-01T03:28:50.625462,,,,['813/.6'],1st ed.,,,,,,,['618190'],,['2124835'],['0441012833'],,,/books/OL3421771M,[{'key': '/languages/eng'}],/type/datetime,2011-12-03T17:34:38.403435,7,['PS3602.U85 A63 2005'],['2005042814'],,,,,,472.0,,,,,472 p. ;,,,nyu,2005,['New York'],['Ace Books'],7,"['Codex Alera ;', 'bk 2.']","['marc:marc_records_scriblio_net/part15.dat:143608702:604', 'marc:marc_loc_updates/v35.i20.records.utf8:20636376:839']",,,,,,Academ's fury,,,,/type/edition,,,,,,,[{'key': '/works/OL5685111W'}]
0,[{'key': '/authors/OL1434848A'}],by Craig Chester.,,,,[775911],,/type/datetime,2008-04-01T03:28:50.625462,,,,['813/.6'],,,,,['Fiction.'],,,['1505356'],,['280295'],['1555839126'],,,/books/OL3425014M,[{'key': '/languages/eng'}],/type/datetime,2011-04-27T13:17:38.156837,6,['PS3603.H486 A65 2005'],['2005048211'],,,,/type/text,"""Based on the screen play by Craig Chester.""",,,,['57574025'],['Adam and Steve'],p. cm.,,,cau,2005,"['Los Angeles, CA']",['Alyson Books'],6,,,,,['Gay men -- Fiction.'],a novel,,Adam & Steve,,,,/type/edition,,,,,,,[{'key': '/works/OL5847470W'}]
0,[{'key': '/authors/OL19697A'}],David Mamet.,,,,[167335],,/type/datetime,2008-04-01T03:28:50.625462,,,,['812/.54'],,,,,['Drama.'],,,['80120'],,['1031413'],['0307275183'],,,/books/OL3425186M,[{'key': '/languages/eng'}],/type/datetime,2010-08-02T19:59:49.214288,6,['PS3563.A4345 R66 2005'],['2005048460'],,,,/type/text,"""A Vintage original""--T.p. verso.",118.0,,,['60419557'],,118 p. ;,,,nyu,2005,['New York'],['Vintage Books'],6,,"['marc:marc_records_scriblio_net/part15.dat:146556939:665', 'marc:marc_ithaca_college/ic_marc.mrc:210789398:637']",['New York (N.Y.)'],,['New York (N.Y.) -- Drama'],a play,,Romance,,,,/type/edition,,,,,,,[{'key': '/works/OL55750W'}]
0,[{'key': '/authors/OL2625113A'}],"by William Strunk, Jr. and E.B. White ; illustrated by Maira Kalman.","['White, E. B. 1899-', 'Kalman, Maira.']",,,[872290],,/type/datetime,2008-04-01T03:28:50.625462,,,,['808/.042'],,,,,,,,['10825'],,['8824614'],['1594200696'],,,/books/OL3425498M,[{'key': '/languages/eng'}],/type/datetime,2014-09-12T04:59:49.023812,11,['PE1408 .S772 2005'],['2005048913'],,,,/type/text,Includes index.,,elementsofstyle00stru_2,,,,p. cm.,,,nyu,2005,['New York'],['Penguin Press'],11,,"['marc:marc_records_scriblio_net/part15.dat:146820268:776', 'marc:marc_loc_updates/v35.i20.records.utf8:20915732:1338', 'marc:marc_cca/b10621386.out:48891826:1178', 'ia:elementsofstyle00stru_2']",,,"['English language -- Rhetoric', 'English language -- Style', 'Report writing']",,,The elements of style,,,,/type/edition,,,,,,,[{'key': '/works/OL38285W'}]
0,[{'key': '/authors/OL1435615A'}],Paul Goldstein.,,,,[242931],,/type/datetime,2008-04-01T03:28:50.625462,,,,['813/.6'],,,,,['Fiction.'],,,['553794'],,['860901'],['0385517173'],,,/books/OL3427647M,[{'key': '/languages/eng'}],/type/datetime,2010-08-02T20:03:18.998785,5,['PS3607.O4853 E77 2006'],['2005051872'],,,,,,,,,,,p. cm.,,,nyu,2006,['New York'],['Doubleday'],5,,,"['Hollywood (Los Angeles, Calif.)', 'Munich (Germany)', 'Germany']",,"['Intellectual property lawyers -- Fiction.', 'Motion picture authorship -- Fiction.', 'Blacklisting of authors -- Fiction.', 'Motion picture industry -- Fiction.', 'Americans -- Germany -- Fiction.', 'Polish Americans -- Fiction.', 'Hollywood (Los Angeles, Calif.) -- Fiction.', 'Munich (Germany) -- Fiction.']",,,Errors and omisions,,,,/type/edition,,,,,,,[{'key': '/works/OL5849805W'}]
0,[{'key': '/authors/OL39611A'}],Gary Braver.,,,,"[6617757, 523933]",,/type/datetime,2008-04-01T03:28:50.625462,,,,['813/.54'],1st ed.,,,,['Fiction.'],['IA126603'],,['83496'],,['593098'],['0765302519'],,,/books/OL3427724M,[{'key': '/languages/eng'}],/type/datetime,2012-08-16T23:44:08.316395,10,['PS3552.R3554 F57 2005'],['2005051963'],,,,/type/text,"""A Forge book.""",,flashback00brav,,['61362190'],,p. cm.,,,nyu,2005,['New York'],['Tom Doherty Associates'],10,,['ia:flashback00brav'],,,"['Drowning victims -- Family relationships -- Fiction', ""Alzheimer's disease -- Research -- Fiction"", 'Coma -- Patients -- Fiction', 'Jellyfishes -- Fiction', 'Memory -- Fiction']",,,Flashback,,,,/type/edition,,,,,,,[{'key': '/works/OL14963051W'}]
0,[{'key': '/authors/OL239195A'}],Graciela Limón ; Spanish translation by Ernesto Colín.,,,,[785797],,/type/datetime,2008-04-01T03:28:50.625462,,,,['813/.54'],,,,,['Fiction.'],,,['414104'],,['1192162'],['1558854495'],,,/books/OL3429649M,[{'key': '/languages/spa'}],/type/datetime,2011-04-27T13:17:38.156837,6,['PS3562.I464 S6618 2006'],['2005054511'],,,,,,,,,['62090891'],,p. cm.,,,txu,2006,"['Houston, TX']",['Arte Publico Press'],6,,,['Mexico'],"['Conquest, 1519-1540']","['Aztecs -- Fiction.', 'Indians of Mexico -- First contact with Europeans -- Fiction.', 'Indian women -- Fiction.', 'Mexico -- History -- Conquest, 1519-1540 -- Fiction.']",,,La cancion del colibri,,,,/type/edition,,,,,['Song of the hummingbird.'],,[{'key': '/works/OL1987683W'}]
0,[{'key': '/authors/OL24810A'}],Penelope J. Stokes,,,,[242582],,/type/datetime,2008-04-01T03:28:50.625462,,,,['813/.54'],,,,,['Fiction.'],['IA102314'],,['1262147'],,['1680531'],['0385510144'],,,/books/OL3429883M,[{'key': '/languages/eng'}],/type/datetime,2011-08-11T23:49:04.669328,9,['PS3569.T6219 D45 2006'],['2005054761'],"[{'title': 'Table of contents only', 'url': 'http://www.loc.gov/catdir/toc/fy0703/2005054761.html'}, {'title': 'Contributor biographical information', 'url': 'http://www.loc.gov/catdir/enhancements/fy0625/2005054761-b.html'}, {'title': 'Publisher description', 'url': 'http://www.loc.gov/catdir/enhancements/fy0625/2005054761-d.html'}, {'title': 'Sample text', 'url': 'http://www.loc.gov/catdir/enhancements/fy0661/2005054761-s.html'}]",,,,,,deltabelles00stok,,['62084468'],,p. cm.,,,nyu,2006,['New York'],['Doubleday'],9,,['ia:deltabelles00stok'],,,"['Female friendship -- Fiction.', 'Women college students -- Fiction.', 'Class reunions -- Fiction.', 'Widows -- Fiction.', 'Lesbians -- Fiction.', 'Coming out (Sexual orientation) -- Fiction.']",,,Delta Belles,,,,/type/edition,,,,,,,[{'key': '/works/OL14871180W'}]
0,[{'key': '/authors/OL334056A'}],"[written by Santo Cilauro, Tom Gleisner & Rob Sitch].","['Gleisner, Tom.', 'Sitch, Rob, 1962-']",,,[851141],,/type/datetime,2008-04-01T03:28:50.625462,,,,['818/.607'],1st ed.,,,,['Humor.'],['IA134904'],,['4322'],,['214293'],['1585676195'],,,/books/OL3435558M,[{'key': '/languages/eng'}],/type/datetime,2011-10-04T20:23:14.757775,11,['PN6231.T7 C55 2004'],['2005278664'],,,,/type/text,"Originally published: South Yarra, Vic. : Hardie Grant Books, 2003.
Includes index.",176.0,molvanialandunto00cila,,,,176 p. :,,,nyu,2004,"['Woodstock, NY']",['The Overlook Press'],11,"['Jetlag travel guide', 'Jetlag travel guide (Overlook Press)']","['marc:marc_records_scriblio_net/part15.dat:155795633:947', 'ia:molvanialandunto00cila', 'ia:molvanalandunt00cila', 'ia:molvanalandunt00cila']",,,"['Travel -- Humor', 'Imaginary places -- Humor']",a land untouched by modern dentistry...,,Molvanîa,,,,/type/edition,,,,,,,[{'key': '/works/OL2423910W'}]
0,[{'key': '/authors/OL712646A'}],Gwen Moffat.,,,,[543595],,/type/datetime,2008-04-01T03:28:50.625462,,,,['823/.914'],1st Carroll & Graf ed.,,,,['Fiction.'],['IA170701'],['dyingforlove00moff'],['5330474'],,['1500295'],['0786715030'],,,/books/OL3435846M,[{'key': '/languages/eng'}],/type/datetime,2012-02-22T10:18:25.247556,8,['PR6063.O4 D95 2005b'],['2005279447'],,,,,,221.0,dyingforlove00moff,,['57555040'],,221 p. ;,,,nyu,2005,['New York'],['Carroll & Graf'],8,,"['marc:marc_records_scriblio_net/part15.dat:156098085:806', 'marc:marc_loc_updates/v36.i18.records.utf8:11274701:909', 'ia:dyingforlove00moff']","['Lake District (England)', 'England', 'Lake District']",,"['Murder -- England -- Lake District -- Fiction', 'Kidnapping -- England -- Lake District -- Fiction', 'Lake District (England) -- Fiction']",,,Dying for love,,,,/type/edition,,,,,,,[{'key': '/works/OL3914641W'}]
0,[{'key': '/authors/OL1198104A'}],Steve Gladis.,,,,[1625248],,/type/datetime,2008-04-01T03:28:50.625462,,,,['808/.06665'],,,,,,,,['4362492'],,,['0874258561'],,,/books/OL3439958M,[{'key': '/languages/eng'}],/type/datetime,2014-04-06T08:21:45.222744,5,['HF5718.3 .G653 2005'],['2005299603'],,,,,,142.0,survivalwritingf00glad,,['60630765'],,"vii, 142 p. ;",,,mau,2005,"['Amherst, Mass']",['HRD Press'],5,,,,,"['Business writing.', 'English language -- Rhetoric.', 'English language -- Style.']",,"[{'title': 'Use direct, useful verbs', 'level': 0, 'type': {'key': '/type/toc_item'}}, {'title': 'Keep sentences short', 'level': 0, 'type': {'key': '/type/toc_item'}}, {'title': 'Avoid abstractions and use concrete language', 'level': 0, 'type': {'key': '/type/toc_item'}}, {'title': 'Keep related words together', 'level': 0, 'type': {'key': '/type/toc_item'}}, {'title': ""Don't shift number, tense, voice, subject, or point of view"", 'level': 0, 'type': {'key': '/type/toc_item'}}, {'title': 'Structure your writing', 'level': 0, 'type': {'key': '/type/toc_item'}}, {'title': 'Write with style', 'level': 0, 'type': {'key': '/type/toc_item'}}, {'title': 'Learn how to become a good editor', 'level': 0, 'type': {'key': '/type/toc_item'}}, {'title': 'More about editing', 'level': 0, 'type': {'key': '/type/toc_item'}}, {'title': 'Write to your audience', 'level': 0, 'type': {'key': '/type/toc_item'}}, {'title': 'Writing e-mail', 'level': 0, 'type': {'key': '/type/toc_item'}}, {'title': 'Final words.', 'level': 0, 'type': {'key': '/type/toc_item'}}]",Survival writing for business,,,,/type/edition,,,,,,,[{'key': '/works/OL5286276W'}]
0,,herausgegeben von Katharina Rennhak und Virgina [i.e. Virginia] Richter.,"['Rennhak, Katharina.', 'Richter, Virginia.']",,,[2201767],,,,,,,['809/.933522'],,,,,['Congresses.'],,,['3541098'],,,['3412112046'],,,/books/OL3451286M,[{'key': '/languages/ger'}],/type/datetime,2010-04-16T04:48:08.801575,3,['PN56.5.W64 R48 2004'],['2005355428'],,,,/type/text,"Includes bibliographical references and index.
Papers from the conference Gender und Politik um 1800 held September 2002 at Ludwig-Maximilians-Universität München.",304.0,,,['56809262'],,304 p. :,,,gw ,2004,['Köln'],['Böhlau'],3,"['Literatur, Kultur, Geschlecht.', 'Bd. 31']",,['Europe'],"['18th century', '19th century']","['Women in literature -- Congresses.', ""Women's rights in literature -- Congresses."", 'Feminism and literature -- Europe -- Congresses.', 'Literature, European -- 18th century -- History and criticism -- Congresses.', 'Literature, European -- 19th century -- History and criticism -- Congresses.']",Geschlechterordnungen in Europa um 1800,,Revolution und Emanzipation,,,,/type/edition,,,,,,,
0,[{'key': '/authors/OL191748A'}],Ludwig Zeller.,,,,[2100122],,/type/datetime,2008-04-01T03:28:50.625462,,,,['861/.64'],,,,,,,,['4606941'],,['5820717'],['1894800524'],,,/books/OL3453374M,[{'key': '/languages/eng'}],/type/datetime,2010-08-02T20:19:50.051186,5,['PQ8098.36.E4 M8512 2004'],['2005363781'],,,,/type/text,Text containing English translation with Spanish language original and text containing French translation with Spanish language original are inverted and back to back.,47.0,,,,['Femme en songe'],"47, 47 p. ;",,,bcc,2004,"['Victoria, BC']",['Ekstasis Editions'],5,,,,,,,,Woman in dream,,,,/type/edition,,,,,['Mujer en sueño.'],,[{'key': '/works/OL1690888W'}]
0,[{'key': '/authors/OL23048A'}],created by Gertrude Chandler Warner ; illustrated by Charles Tang.,"['Tang, Charles, ill.']",,,"[1527168, 589804]",,/type/datetime,2008-04-01T03:28:50.625462,,/type/text,"While visiting their cousin's pineapple plantation in Hawaii, the Aldens hear a local legend about a black pearl with a curse on it and investigate mysterious incidents on and around the plantation.",['[Fic]'],,,,,,['IA183401'],['blackpearlmyster00warn'],"['1291461', '363341']",,['942004'],"['0807507830', '0807507849']",,,/books/OL345374M,[{'key': '/languages/eng'}],/type/datetime,2012-05-07T19:11:43.538075,14,['PZ7.W244 Bk 1998'],['98004386'],,,,,,121.0,,,,,121 p. :,,,ilu,1998,"['Morton Grove, Ill']",['A. Whitman'],14,['The boxcar children mysteries'],['ia:blackpearlmyster00warn'],['Hawaii'],,"['Pearls -- Fiction.', 'Brothers and sisters -- Fiction.', 'Orphans -- Fiction.', 'Mystery and detective stories.', 'Hawaii -- Fiction.']",,,The black pearl mystery,,,,/type/edition,,,,,,,[{'key': '/works/OL15061107W'}]
0,[{'key': '/authors/OL1445194A'}],Catherine Flepp.,,,,[4267059],,,,,,,['861/.62'],,,,,,,,['3888000'],,,['2747570193'],,,/books/OL3454766M,[{'key': '/languages/fre'}],/type/datetime,2010-04-16T04:48:08.801575,4,['PQ6601.L2 Z657 2004'],['2005373551'],,,,/type/text,Includes bibliographical references (p. 345-373).,373.0,,,,,373 p. ;,,,fr ,2004,['Paris'],['Harmattan'],4,"['Recherches et documents. Espagne', 'Collection Recherches et documents.']",,,,"['Alberti, Rafael, 1902- -- Criticism and interpretation.', 'Alberti, Rafael, 1902- -- Childhood and youth.']",dire le désir,,poésie de jeunesse de Rafael Alberti,La ,,,/type/edition,,,,,,,[{'key': '/works/OL5871167W'}]
0,[{'key': '/authors/OL1445449A'}],by Minna Nevala.,,,,,,/type/datetime,2008-04-01T03:28:50.625462,,,,['826.009'],,,,,,,,['4203428'],,['4719263'],['951904020X'],,,/books/OL3455471M,[{'key': '/languages/eng'}],/type/datetime,2010-08-02T20:21:54.791764,4,"['PB10 .N413 vol. 64', 'PE1483 .N413 vol. 64']",['2005377422'],,,,/type/text,"Thesis (doctoral)--University of Helsinki, 2004.",303.0,,,['57477210'],,"xiii, 303 p. :",,,fi ,2004,['Helsinki'],['Société Néophilologique'],4,"['Mémoires de la Société Néophilologique de Helsinki,', 't. 64', 'Mémoires de la Société néo-philologique à Helsingfors ;', '64.']",,,,"['English language -- Address, Forms of.', 'English letters -- History and criticism.', 'Letter writing -- History.']",its forms and socio-pragmatic functions,,Address in early English correspondence,,,,/type/edition,,,,,,,[{'key': '/works/OL5871643W'}]
0,[{'key': '/authors/OL505225A'}],gan Gwyn Thomas ; darluniwyd gan Margaret Jones.,"['Jones, Margaret D. 1918-']",,,,,/type/datetime,2008-04-01T03:28:50.625462,,,,['891.66'],,,,,['Juvenile fiction.'],,,['4961649'],,['8233394'],['0708311121'],,,/books/OL3458595M,[{'key': '/languages/wel'}],/type/datetime,2010-08-02T20:22:43.587927,4,['PZ90.W4 T525 1992'],['2005391955'],,,,,,62.0,,,['26300601'],,62 p. :,,,wlk,1992,,['Caerdydd : Gwasg Prifysgol Cymru ar ran Cyngor Celfyddydau Cymru'],4,,,['Wales'],,"['Taliesin -- Juvenile fiction.', 'Wales -- Juvenile fiction.']",cyfaddasiad newydd,,Chwedl Taliesin,,,,/type/edition,,,,,,,[{'key': '/works/OL3164223W'}]
0,[{'key': '/authors/OL810055A'}],"Jesús Delgado Valhondo ; edición, introdución y notas de Antonio Salguero Carvajal.","['Salguero Carvajal, Antonio.']",,,,,,,,,,['861/.64'],,,,,,,,['4689447'],,,"['8476717245', '847671727X']",,,/books/OL3458919M,[{'key': '/languages/spa'}],/type/datetime,2010-04-16T04:48:08.801575,2,['PQ6654.E42 A17 2003'],['2005394275'],,,,/type/text,"Includes bibliographical references (v. 3, p. 359-387) and indexes.
Description based on: v. 3, published in 2003.",,,,,,v. <3   > ;,,,sp ,2003,"['Mérida, Badajoz']",['Editora Regional de Extremadura'],2,,,,,,1930-1993,,Poesía completa,,,,/type/edition,,,,,['Poems'],,
0,,"herausgegeben von Astrid Erll, Ansgar Nünning ; unter Mitarbeit von Hanne Birk, Birgit Neumann.","['Erll, Astrid.', 'Nünning, Ansgar.']",,,[2195072],,,,,,,['809/.93353'],,,,,,,,['4276759'],,,['311018026X'],,,/books/OL3463063M,[{'key': '/languages/ger'}],/type/datetime,2010-04-16T04:48:08.801575,4,['PN56.M44 G44 2005'],['2005424290'],,,,/type/text,Includes bibliographical references and indexes.,322.0,,,,,"vi, 322 p. ;",,,gw ,2005,"['Berlin', 'New York']",['de Gruyter'],4,"['Media and cultural memory,', '2']",,,,"['Memory in literature.', 'Criticism.']",theoretische Grundlegung und Anwendungsperspektiven,,Gedächtniskonzepte der Literaturwissenschaft,,,,/type/edition,['Table of contents'],['http://www.loc.gov/catdir/toc/fy054/2005424290.html'],['http://www.loc.gov/catdir/toc/fy054/2005424290.html'],,,,
0,[{'key': '/authors/OL1448765A'}],Geraldine Mills.,,,,[4268664],,,,,,,['821/.92'],,,,,,,,['1550004'],,,['0949010936'],,,/books/OL3464026M,[{'key': '/languages/eng'}],/type/datetime,2010-04-16T04:48:08.801575,4,['PR6113.I58 T65 2004'],['2005432466'],,,,,,58.0,,,['54957454'],,58 p. ;,,,ie ,2004,"['Cork, Ireland']",['Bradshaw Books'],4,['Bradshaw poets'],,,,,,,Toil the dark harvest,,,,/type/edition,,,,,,,[{'key': '/works/OL5878808W'}]
0,[{'key': '/authors/OL186439A'}],Juan Gustavo Cobo Borda.,,,,[4269170],,/type/datetime,2008-04-01T03:28:50.625462,,,,['860.9/98'],1. ed.,,,,,,,['2945584'],,['8433570'],['9681673662'],,,/books/OL3465216M,[{'key': '/languages/spa'}],/type/datetime,2010-08-02T20:25:23.137465,5,['PQ7081 .C5845 2004'],['2005437289'],,,,/type/text,Includes bibliographical references.,501.0,,,,,501 p. ;,,,mx ,2004,"['México, D.F']",['Fondo de Cultura Económica'],5,"['Tierra firme', 'Colección Tierra firme (Fondo de Cultura Económica (Mexico))']",,,,['Spanish American literature -- History and criticism.'],,,Lector impenitente,,,,/type/edition,,,,,,,[{'key': '/works/OL1661724W'}]
0,,,"['Paul, Marianne.']",,,,,/type/datetime,2008-04-01T03:28:50.625462,,,,['810.8/032'],,,,,['Literary collections.'],,,['4680572'],,,['0968935028'],,['09689350'],/books/OL3465605M,[{'key': '/languages/eng'}],/type/datetime,2011-04-27T13:17:38.156837,3,['PR9198.2.O5 S76 2004'],['2005440014'],,,,/type/text,Managing editor: Marianne Paul.,301.0,,,['57573675'],,301 p. :,,,onc,2004,"['Kitchener, Ont']",['Dove Tale Press'],3,,,"['Ontario', 'Ontario.']",['21st century.'],"['Canadian literature -- Ontario.', 'Voyages and travel -- Literary collections.', 'Canadian literature -- 21st century.', 'Ontario -- Literary collections.']",stories and poems of journey.,,Stones turned,,,,/type/edition,,,,,,,
